Area	Categoria	Tema	Subtema	Usado	Conocimiento	Interes
		Shell		Preguntar		
	React Native			Preguntar	Preguntar	Preguntar
		Bridging		Preguntar	Preguntar	
		Styling		Preguntar	Preguntar	
		Core components		Preguntar	Preguntar	
	Flutter			Preguntar	Preguntar	Preguntar
		Bridging		Preguntar	Preguntar	
		Styling		Preguntar	Preguntar	
		Core widgets		Preguntar	Preguntar	
		State management		Preguntar		
		Pub		Preguntar		
	Android nativo			Preguntar	Preguntar	Preguntar
		Kotlin		Preguntar		Preguntar
		Jetpack		Preguntar		
		Java		Preguntar		
		Gradle		Preguntar		
	iOS nativo			Preguntar	Preguntar	Preguntar
		Swift		Preguntar		Preguntar
		Objective-C		Preguntar		
Databases						
	SQL				Preguntar	
		Postgres		Preguntar	Preguntar	
		MySQL		Preguntar	Preguntar	
		SQL Server		Preguntar	Preguntar	
	No-SQL				Preguntar	
		ElasticSearch		Preguntar	Preguntar	
		Mongo		Preguntar	Preguntar	
		Firestore		Preguntar	Preguntar	
		Cosmos DB		Preguntar	Preguntar	
	Cache				Preguntar	
		Redis		Preguntar	Preguntar	
Devops				Preguntar		Preguntar
	Docker			Preguntar	Preguntar	Preguntar
	Kubernetes			Preguntar	Preguntar	Preguntar
	AWS			Preguntar	Preguntar	Preguntar
		S3		Preguntar		
		EC2		Preguntar		
		CloudFront		Preguntar		
	GCP			Preguntar	Preguntar	Preguntar
	Azure Infra			Preguntar	Preguntar	Preguntar
		Functions		Preguntar		
		Key Vault		Preguntar		
		App services		Preguntar		
		Storage		Preguntar		
		Queue/Service Bus		Preguntar		
		Send grids		Preguntar		
		Elastic Pools		Preguntar		
		User tenants		Preguntar		
	Azure Devops			Preguntar	Preguntar	Preguntar
		Deployment pipelines		Preguntar		
		IaaS - ARM/YAML templates		Preguntar		
		Creación automatizada de ambientes		Preguntar		
	Terraform			Preguntar	Preguntar	
	Heroku			Preguntar	Preguntar	
	Vercel			Preguntar	Preguntar	
	Helm			Preguntar	Preguntar	
	Scripting (Bash/Powershell)			Preguntar	Preguntar	
	SSH			Preguntar	Preguntar	
	Artifactory			Preguntar		
		Sonatype Nexus		Preguntar		
		Jfrog		Preguntar		
	CI/CD					Preguntar
		Jenkins		Preguntar	Preguntar	
		TeamCity		Preguntar	Preguntar	
		CircleCI		Preguntar	Preguntar	
		Heroku CI		Preguntar	Preguntar	
		Bitbucket pipelines		Preguntar	Preguntar	
		Azure pipelines		Preguntar	Preguntar	
	Gitlab			Preguntar		
	Bamboo/Bitbucket			Preguntar		
ML/AI				Preguntar		Preguntar
	Libs					
		Keras		Preguntar	Preguntar	
		TensorFlow		Preguntar	Preguntar	
		Scikit-learn		Preguntar	Preguntar	
		Pandas		Preguntar	Preguntar	
		Numpy		Preguntar	Preguntar	
		OpenCV		Preguntar	Preguntar	
		Matplot lib		Preguntar	Preguntar	
	Tools					
		Jupyter notebook		Preguntar		
	Imagen			Preguntar		Preguntar
		Clasificación		Preguntar		
		Detección		Preguntar		
		Reconocimiento de objetos		Preguntar		
		Segmentación semántica		Preguntar		
		Segmentación de instancia		Preguntar		
		Tracking de objetos		Preguntar		
		GANs		Preguntar		
	Texto			Preguntar		Preguntar
		Clasificación		Preguntar		
		Sumarización		Preguntar		
		Modelos del lenguaje		Preguntar		
		Generación		Preguntar		
		Reconocimiento de entidades		Preguntar		
		Questionnaire answering		Preguntar		
	Audio			Preguntar		Preguntar
		Clasificación		Preguntar		
		GANs		Preguntar		
		Speech		Preguntar		
		Fingerprinting		Preguntar		
	Datos tabulares/análisis predictivo			Preguntar		Preguntar
